Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
New Tech Plaza,新科技廣場,"34 Tai Yau Street, San Po Kong",KLN - Wong Tai Sin,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
New Terminal to Hong Kong Business Aviation Centre,香港商用航空中心擴建工程,"12 South Perimeter Road, Hong Kong International Airport, Chek Lap Kok",NT - Islands,Others,Hong Kong Business Aviation Centre Limited,"CHUNG Wai Lun, Alan",NB V2.0,Registered,2022,Valid,,,
New Territories (Shatin) Forensic Medicine Centre,新界(沙田)法醫學大樓,"7 Lower Shing Mun Road, Sha Tin, Hong Kong",NT - Sha Tin,Others,"Department of Health, HKSAR Government",HO Ching Yin,NB V1.2,Final Gold,2024,Valid,,,
"New Territories East Cultural Centre in Area 11, Fanling",粉嶺第11區新界東文化中心,"Area 11, Fanling",NT - North,Government Institutional and Community,Leisure and Cultural Services Department of HKSAR Government,Mr LAM Cheuk Yin,NB V2.0,Provisional Gold,2023,Valid,,,
NEW TIMES PLAZA (EU),新时代广场 (EU),"No.1 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
NEW TIMES PLAZA (MAN),新时代广场 (MAN),"No.1 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
New Town Plaza Phase I,新城市廣場一期,"No.18 Sha Tin Centre Street, Shatin, New Territories",NT - Sha Tin,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
New Town Plaza Phase III,新城市廣場三期,"No. 2-8, Sha Tin Centre Street, Sha Tin, New Territories",NT - Sha Tin,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
New Town Tower,新城市商業大廈,"No. 8-18 Pak Hok Ting Street, Sha Tin, New Territories",NT - Sha Tin,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
New Treasure Centre,新寶中心,"10 Ng Fong Street, San Po Kong, Kowloon",KLN - Wong Tai Sin,Industrial,ARA Asset Management (Prosperity) Limited,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
New West Plant and Co-digestion Facilities at Tai Po Sewage Treatment Works,大浦污水處理廠新西廠及共消化設施,"7 Dai Kwai St, Tai Po Industrial Estate, Hong Kong",NT - Tai Po,Government Institutional and Community,Drainage Services Department,Tsang Hon Wai,ND V1.0,Registered,2024,Valid,,,
"New World Development HQ2 at 83 King Lam Street, Cheung Sha Wan",新世界發展長沙灣瓊林街HQ2寫字樓,"8/F-11/F, 83 King Lam Street, Cheung Sha Wan",KLN - Sham Shui Po,Work Space,New World Development Company Limited,Mr. Henry K.C. Mak,BI V2.0,Registered,2024,Valid,,,
New World Tower,新世界大廈,"No. 18 Queen's Road Central, Hong Kong",HK - Central & Western,Commercial,New World Tower Company Limited,"Tam Chun Man, Thomas",EB V2.0 Sel. MAN,Excellent,,Expired,,,
Ngan Ho Court,銀河苑,"16 Ngan Kwong Wan Road, Mui Wo, Lantau Island, N.T., Hong Kong",NT - Islands,Residential,Hong Kong Housing Authority,Leong Lai Shing,NB V1.2,Final Gold,2020,Valid,PAB0021/17,,
Ngan Wai Court,銀蔚苑,"15 Ngan Kwong Wan Road, Mui Wo, Lantau Island, N.T., Hong Kong",NT - Islands,Residential,Hong Kong Housing Authority,Leong Lai Shing,NB V1.2,Final Gold,2020,Valid,PAB0020/17,,
Nina Hotel Causeway Bay by Nina Hospitality,銅鑼灣如心酒店,"18 King's Road, Causeway Bay",HK - Wan Chai,Hotel,Chinachem Agencies Ltd,"MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Nina Hotel Island South by Nina Hospitality,南灣如心酒店,"55-57 Wong Chuk Hang Road, Aberdeen",HK - Southern,Hotel,Chinachem Agencies Ltd,"MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Nina Hotel Kowloon East by Nina Hospitality,九龍東如心酒店,"38 Chong Yip Street, Kwun Tong",KLN - Kwun Tong,Hotel,Chinachem Agencies Ltd,"MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Nina Hotel Tsuen Wan West by Nina Hospitality,荃灣西如心酒店,"8 Yeung Uk Road, Tsuen Wan",NT - Tsuen Wan,Hotel,Chinachem Agencies Ltd,"MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Nina Mall 1,如心廣場一期,"Nina Mall 1, 8 Yeung UK Road, Tsuen Wan, New Territories, Hong Kong",NT - Tsuen Wan,Commercial,"THE WORLD REALTY LTD, TSING LUNG INVESTMENT CO LTD, YAU FOOK HONG CO LTD, YING HO CO LTD, CHEONG MING INVESTMENT CO LTD, KWONG FOOK INVESTORS & DEVELOPERS LTD, DORFOLK INVTS LTD, ON LEE INVT CO LTD",MAK Kei Choi,NB V1.2,Final Unclassified,2020,Valid,,,
Nina Mall 2,如心廣場二期,"98 Tai Ho Road, Tsuen Wan, New Territories",KLN - Yau Tsim Mong,Commercial,Sources Fame Management Limited,"Mr. MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
Nina Park,如心園,"8 Yeung Uk Road, Tsuen Wan, Hong Kong",NT - Tsuen Wan,Others,CHEONG MING INVESTMENT CO LTD; DORFOLK INVTS LTD; KWOK FOOK INVESTORS & DEVELOPERS LTD; ON LEE INVT CO LTD; THE WORLD REALITY LTD; TSING LUNG INVESTMENT CO LTD; YAU FOOK HONG CO LTD; YING HO CO LTD,Mr Cheuk Yin Lam,NB V1.2,Provisional Gold,2021,Valid,,,
Nina Tower,如心廣場,"8 Yeung Uk Road, Tsuen Wan, Hong Kong",NT - Kwai Tsing,Commercial,Ying Ho Company Ltd; Dorfolk Investments Ltd; The World Realty Limited; Yau Fook Hong Company Ltd; Cheong Ming Investment Company Ltd; Kwong Fook Investors & Developers Ltd; On Lee Investment Company Ltd; Tsing Lung Investment Company Ltd,"MAK Kei Choi, Henry",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
NLSI Lui Kwok Pat Fong College,新生命教育協會呂郭碧鳳中學,"102 Tsui Ping Road, Kwun Tong, Kowloon",KLN - Kwun Tong,Aided,NLSI Lui Kwok Pat Fong College,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1454,"SLL, SCE"
"No. 10, Hoi Fung Path",海風徑10號,"No. 10, Hoi Fung Path, Hong Kong",HK - Southern,Residential,Harcourt Holdings Limited,"LAM Siu Kei, Kenneth",NB V1.1,Final Unclassified,2017,Expired,,,
"No. 134 Wai Yip Street, Kwun Tong, Hong Kong",,"No. 134 Wai Yip Street, Kwun Tong, Hong Kong",KLN - Kwun Tong,Commercial,Premium Asia Limited,"Mo Cheung Ying, Eagle",NB V2.0,Registered,2016,Valid,,,
No. 162 Hiram’s Highway,西貢公路162號,"162 Hiram’s Highway, Sai Kung, New Territories",NT - Sai Kung,Residential,WISE CASTLE CORPORATION LIMITED,Sandra Pang,NB V2.0,Provisional Platinum,2024,Valid,PAP0017/24,,
"No. 163 Hoi Bun Road, Kowloon",,"No. 163 Hoi Bun Road, K.T.I.L. 299, Kwun Tong, KLN",KLN - Kwun Tong,Commercial,New Land Development Limited,"CHIU Ka Fai, Calvin",NB V1.1,Provisional Unclassified,2011,Expired,,,
No. 22A Kennedy Road,N/A,"No. 22A Kennedy Road, Hong Kong",HK - Central & Western,Mixed Use,The Trustees of the Union Church in Hong Kong,"Ms KWOK May Han, Grace",NB V1.2,Final Silver,2024,Valid,PAS0042/22,,
No. 238-240 Wanchai Road,,"No. 238-240 Wanchai Road, Wanchai, Hong Kong",HK - Wan Chai,Commercial,Goodpex Development Limited,0,NB V1.2,Registered,2019,Valid,,,
NO. 3 FEI NGO SHAN ROAD,飛鵝山道三號,"3 Fei Ngo Shan Road, Sai Kung, Hong Kong",NT - Sai Kung,Residential,Maxjet Company Limited,Ma Yee Ling,NB V1.1,Final Unclassified,2020,Valid,PAU0040/19,,
No. 33 Des Voeux Road West,德輔道西33號,"No. 33-49 Des Voeux Road West, Sheung Wan, Hong Kong",HK - Central & Western,Commercial,Ever Crown Development Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Silver,2019,Expired,,,
No. 478 Castle Peak Road Kowloon,,No. 478 Castle Peak Road Kowloon on N.K.I.L. 2081,KLN - Sham Shui Po,Commercial,Lai Sun Garment (International) Ltd,"Mo Cheung Ying, Eagle",NB V2.0,Registered,2016,Valid,,,
"No. 51 Mount Davis Road, Hong Kong",,"No. 51 Mount Davis Road, Hong Kong",HK - Central & Western,Residential,Chiu Laam,"Mo Cheung Ying, Eagle",NB V1.2,Provisional Unclassified,2021,Valid,,,
"No. 57A Nga Tsin Wai Road, Kowloon Tong",,"No. 57A Nga Tsin Wai Road, Kowloon Tong, Kowloon, Hong Kong",KLN - Sham Shui Po,Residential,Fortune Shiner Development Limited,"Ma Yee Ling, Elaine",NB V1.2,Provisional Unclassified,2019,Valid,,,
"No. 6 Henderson Road, Inland Lot No. 7335, H.K.",渣甸山軒德蓀道6號,"No. 6 Henderson Road, Hong Kong",HK - Eastern,Residential,Well Unique Development Limited,SZETO Chun Tak,NB V2.0,Registered,2021,Valid,,,
"No. 7 Headland Road, Hong Kong",香港赫蘭道7號,"No. 7 Headland Road, Hong Kong",HK - Southern,Residential,Valiant Hill Limited,"Szeto Chun Tak, Tommy",NB V1.2,Final Unclassified,2019,Expired,,,
No. 8 Wyndham Street,雲咸街8號,"8 Wyndham Street, Central",HK - Central & Western,Commercial,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/197,
No. 8 Wyndham Street (2024),雲咸街8號,"8 Wyndham Street, Central",HK - Central & Western,Commercial,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/197,
"No.1 Horizon Drive, Nos. 44 46 48 and 50 Chung Hom Kok Road",舂磡角道住宅發展項目,"No. 44,46,48 & 50 Chung Hom Kok Road, Hong Kong",HK - Southern,Residential,Grace Wealth Development Limited,"CHAN Chi Keung, Peter",NB V1.1,Provisional Gold,2012,Expired,,,
No.10-16 Pokfield Road,,"No.10-16 Pokfield Road, Hong Kong",HK - Central & Western,Residential,Tat Ming Investment Company Limited,"Yim, Kam Wai",NB V2.0,Registered,2019,Valid,,,
No.11 Henderson Road,,No.11 Henderson Rd,HK - Wan Chai,Residential,CSI Properties Limited,N/A,NB V1.2,Registered,2017,Valid,,,
No.12 Henderson Road,,No.12 Henderson Rd,HK - Wan Chai,Residential,CSI Properties Limited,N/A,NB V1.2,Registered,2017,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,,EB V2.0 Sel. MWA,Registered,2018,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,0,EB V2.0 Sel. EU,Registered,2018,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,0,EB V2.0 Sel. IEQ,Registered,2018,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,0,EB V2.0 Sel. MAN,Registered,2018,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,0,EB V2.0 Sel. SA,Registered,2018,Valid,,,
No.17 Magazine Gap Road,,No.17 Magazine Gap Road,HK - Central & Western,Residential,Bossiney Ltd.,0,EB V2.0 Sel. WU,Registered,2018,Valid,,,
"No.2 Headland Road, Hong Kong on Rural Building Lot No.676",,"No.2 Headland Road, Hong Kong on Rural Building Lot No.676",HK - Southern,Residential,Golden Sea Limited,SZETO Chun Tak,NB V1.2,Final Unclassified,2022,Valid,,,
No.62 Begonia Road,62海棠路住宅發展項目,"No. 62 Begonia Road, Yau Yat Chuen, Kowloon",KLN - Sham Shui Po,Residential,Gain Regent Company Limited,"IP Chee Wang, Rodney",NB V1.1,Provisional Unclassified,2014,Expired,,,
North District Community Health Centre Building,北區社區健康中心大樓,"Pak Wo Road, Sheung Shui, North District, Hong Kong",NT - North,Government Institutional and Community,"Architectural Services Department, HKSAR",LAM Cheuk Yin,NB V2.0,Provisional Platinum,2022,Valid,,,
North Lantau Hospital Hong Kong Infection Control Centre,北大嶼山醫院香港感染控制中心,"Airport Expo Boulevard, Chap Lap Kok, Lantau Island, HK",NT - Islands,Government Institutional and Community,Hospital Authority,LEE Kin Pong Desmond,NB V1.2,Final Gold,2023,Valid,,,
North Point Methodist Primary School,北角衞理小學,"2A Pak Fuk Road, North Point, Hong Kong",HK - Eastern,Government Institutional and Community,"Architectural Services Department, HKSAR Government",CHOI Sze Wing,NB V1.1,Final Gold,2021,Valid,,,
Nos. 101-111 King’s Road,英皇道101號及111號,"Nos. 101-111 King’s Road, Fortress Hill, North Point",HK - Eastern,Residential,Kings Lux Limited,"KWOK May Han, Grace",NB V1.2,Provisional Bronze,2023,Valid,PAB0045/24,,
Nos. 105-105A Pak Tai Street,,Nos. 105-105A Pak Tai Street,KLN - Kowloon City,Mixed Use,Front Builder Investment Limited,,NB V2.0,Registered,2021,Valid,,,
"Nos. 2-28 Gillies Avenue South and Nos. 76-78 Baker Street, Hung Hom, Kowloon (Site A)",TBC,"Nos. 2-28 Gillies Avenue South and Nos. 76-78 Baker Street, Hung Hom, Kowloon",KLN - Kowloon City,Residential,Asia Harbour Investment Limited,Sze-To Hiu Yue,NB V2.0,Registered,2015,Valid,,,
"Nos. 7-8 Tak Hing Street, Yau Ma Tei, Kowloon",,"7&8 Tak Hing Street, Kowloon",KLN - Yau Tsim Mong,Mixed Use,Well Will Corporation Limited,"CHUNG Wai Lun, Alan",NB V2.0,Registered,2022,Valid,,,
Novi,逸新,"50 Ki Lung Street, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Mixed Use,Milirich Investment Ltd,"Ma Yee Ling, Elaine",NB V1.2,Final Unclassified,2020,Valid,PAU0016/17,,
Novo Land(Phase 3B),,"Tuen Mun Town Lot No.483, Area 54, Tuen Mun, New Territories",NT - Tuen Mun,Residential,Pacific Good Investment Limited,"AU Chun Bun, Henry",NB V1.2,Provisional Bronze,2019,Valid,PAB0041/22,,
Novum East,君豪峰,"856, King’s Road, Hong Kong",HK - Eastern,Mixed Use,Main Light Limited,YT TANG,NB V1.1,Final Gold,2021,Valid,FAG0012/21; PAS0016/17,,
Novum Point,君譽峰,"No. 3 Marble Road, North Point, Hong Kong",HK - Eastern,Mixed Use,Lucky Hero Development Ltd.,FAN Hok Man,NB V1.2,Final Silver,2023,Valid,PAS0021/18,,
Novum West,翰林峰,"No. 460 Queen’s Road West, Hong Kong",HK - Central & Western,Residential,Group Leader Limited,CHAN Kwok Leung,NB V1.1,Final Silver,2022,Valid,,,
O’South Coast – Capri Place,,"33 Tong Yin Street, Tseung Kwan O, New Territories",NT - Sai Kung,Commercial,GAINCO ENTERPRISES LIMITED,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
O’South Coast – Monterey Place,,"23 Tong Chun Street, Tseung Kwan O, New Territories",NT - Sai Kung,Commercial,SINOWIDE HOLDINGS LIMITED,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
O’South Coast – Savannah Place,N/A,"3 Chi Shin Street, Tseung Kwan O, New Territories",NT - Sai Kung,Commercial,SUNCO (H.K.) LIMITED,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
O·PARK2,有機資源回收中心第二期,"Kong Nga Po Road, Sha Ling, New Territories",NT - North,Government Institutional and Community,Environmental Protection Department – Waste Infrastructure Planning Division – Food Waste Recycling Group,Wong Man Sze,NB V1.2,Provisional Platinum,2021,Valid,,,
OASIS Kai Tak,,10 Muk Ning Street,KLN - Kowloon City,Residential,Handy Solution Limited,"CHIU Ka Fai, Calvin",NB V1.2,Final Gold,2020,Valid,FAG0007/20; PAG0031/17,https://greenbuilding.hkgbc.org.hk/projects/view/227,
Ocean Building,華海廣場,"80 Shanghai Street, Jordan, Kowloon",KLN - Yau Tsim Mong,Commercial,Yukiu Investments Limited,LAM Po Yee,EB V2.0 Comp. A,Registered,2024,Valid,,,
"Ocean Pride, Ocean Supreme","海之戀, 海之戀・愛炫美","100 Tai Ho Road, Tsuen Wan",NT - Tsuen Wan,Mixed Use,Jubilee Year Investments Limited,Wong Man Sze,NB V1.1,Final Gold,2021,Valid,PAG0028/17,,
Ocean Terminal Extension,,"Ocean Terminal Extension, Canton Road, Tsim Sha Tsui, Hong Kong",KLN - Yau Tsim Mong,Commercial,Harbour City Estates Limited,"Chan Ka Yee, Zoe",NB V1.2,Final Unclassified,2018,Expired,,,
Ocean Wings,海天晉,"28 Tong Chun Street, Tseung Kwan O",NT - Sai Kung,Residential,Hinwood Investment Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Bronze,2020,Valid,,,
Office Building at 23 Wong Chuk Hang Road,,"No.23 Wong Chuk Hang Road, Hong Kong",HK - Southern,Commercial,Capital Universal Investment Limited,"WONG Tsz Yat, Hyvan",NB V2.0,Registered,2012,Valid,,,
"Office Conversion for Kader Building, No. 22 Kai Cheung Road, Kowloon",,"22 Kai Cheung Road, Kowloon Bay, Hong Kong",KLN - Kwun Tong,Commercial,Kader Industrial Company Limited,Ip Wai Hang,NB V1.2,Provisional Unclassified,2017,Expired,,,
"Office Development at 228 Electric Road, North Point",,"No. 228, Electric Road, North Point, Hong Kong",HK - Eastern,Commercial,Goldmin Limited,Shi Ka Lam,NB V1.2,Final Platinum,2024,Valid,,,
"Office Development at 228 Electric Road, North Point",,"No. 228, Electric Road, North Point, Hong Kong",HK - Eastern,Commercial,Hang Lung Properties Limited,Wei Jiang,NB V1.2,Final Platinum,2024,Valid,,,
Office of Municipal Sector Division of Electrical and Mechanical Services Department,機電工程署市政工程部辦公室,"Suite 3901, 39/F, Skyline Tower, 39 Wang Kwong Road, Kowloon Bay, Kowloon, Hong Kong",KLN - Kwun Tong,Institutional,Electrical & Mechanical Services Department,MAK Kei Choi (Henry),BI V1.0,Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1314,
"Office of the Printing Division, Government Logistics Department",政府物流服務署印務科辦公室,"10/F, Government Logistics Centre, 11 Chong Fu Road, Chai Wan, Hong Kong",HK - Eastern,Others,HKSAR Government,Claudine LEE,BI V1.0,Platinum,2016,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/66,
Oi Man Plaza,愛民廣場,"60 Chung Hau Street, Ho Man Tin, Kowloon",KLN - Kowloon City,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/274,
Oi Tung Shopping Centre,愛東商場,"18 Oi Yin Street, Shau Kei Wan, Hong Kong",HK - Eastern,Commercial,Link Asset Management Limited,N/A,EB V2.0 Sel. EU,Good,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1304,
Oi Tung Shopping Centre,愛東商場,"18 Oi Yin Street,Shau Kei Wan,Hong Kong",HK - Eastern,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/333,
Oi!,油街實現,32 City Garden Road,HK - Eastern,Mixed Use,Ocean Century Investments Limited,"MAK Kei Choi, Henry",NB V1.1,Final Bronze,2020,Valid,PAB0019/17,,
Olympian City 1,奧海城1期,"11 Hoi Fai Road, West Kowloon",KLN - Yau Tsim Mong,Commercial,ISPL Consulting Limited,Wong Hing Fong,EB V2.0 Comp. A,Registered,2024,Valid,,,
Olympian City 2,奧海城二期,"Olympian City 2, 18 Hoi Ting Road, West Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Olympian City 2 Management Company Limited,"Ir. Tam Yuen Kwong, Nelson",EB V2.0 Comp. A,Final Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/409,
Olympian City 3,奧海城三期,"1 Hoi Wang Rd, Tai Kok Tsui, West Kowloon",KLN - Yau Tsim Mong,Commercial,Best Profit Limited,"Ir Tam Yuen Kwong, Nelson",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
OMA by the Sea,OMA by the Sea,166 Castle Peak Road – Tai Lam,NT - Tuen Mun,Residential,Smart Tycoon Limited,JIANG Wei,NB V1.2,Final Bronze,2023,Valid,PAB0032/20; FAB0012/23,,
OMA OMA,OMA OMA,108 So Kwun Wat Road,NT - Tuen Mun,Residential,Conventional Wisdom Limited,JIANG Wei,NB V1.2,Final Bronze,2022,Valid,FAB0010/22; PAB0029/19,,
On Lai Court,安麗苑,"Anderson Road Quarry Site R2-8, Hong Kong",NT - Sai Kung,Residential,Hong Kong Housing Authority (HKHA),Mr. Henry K.C. Mak,NB V1.2,Provisional Gold,2022,Valid,PAG0150/23,,
On Lan Centre,中安大廈,"11-15 On Lan Street, Central",HK - Central & Western,Commercial,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,,
On Sau Court,安秀苑,Anderson Road Quarry Site RS-1,NT - Sai Kung,Residential,Hong Kong Housing Authority (HKHA),"Ma Yee Ling, Elaine",NB V1.2,Provisional Gold,2021,Valid,PAG0106/22,,
On Tai Estate,安泰邨,"On Tai Estate, 20 On Sau Road, Kwun Tong, Hong Kong",KLN - Kwun Tong,Residential,Hong Kong Housing Authority,Ma Yee Ling,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/26,
On Wah Court,安樺苑,Anderson Road Quarry Site R2-6,NT - Sai Kung,Residential,Hong Kong Housing Authority,"LIN, Yu",NB V2.0,Provisional Gold,2023,Valid,PAG0152/23,,
On Ying Court,安楹苑,15 On Hei Street,NT - Sai Kung,Residential,Hong Kong Housing Authority (HKHA),Mr. Henry K.C. Mak,NB V2.0,Provisional Gold,2022,Valid,PAG0151/23,,
One Bay East,,"No.83, Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Wheelock Properties (Hong Kong) Limited,N/A,NB V1.1,Final Gold,2016,Expired,,,
One Bedford Place,,"100 Bedford Road, Tai Kok Tsui, Kowloon",KLN - Yau Tsim Mong,Commercial,Prime 18 Development Limited,"CHAN Chi Keung, Peter",NB V1.2,Provisional Gold,2022,Valid,,,
One Capital Place,海德中心,"18 Luard Road, Wan Chai, Hong Kong",HK - Wan Chai,Commercial,Sino Estates Management Limited,Jason Tse,EB V2.0 Comp. A,Registered,2023,Valid,,,
One Causeway Bay,NA,"281 Gloucester Road, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,Excelsior Hotel (BVI) Limited,KWOK May Han Grace,NB V1.2,Provisional Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1361,
One Central Macau Renovation Works,,"No. 945-973-U Avenida de Sagres, Nape, Macau",PRC,Shopping Space,"Properties Sub F, Limited",Frank Cheung,BI V2.0,Registered,2024,Valid,,,
One Chinachem Central,華懋中心I期,"22 Des Voeux Road Central, Central, Hong Kong",HK - Central & Western,Commercial,Sources Fame Management Limited,"Mr. MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
One Citygate (Office) and Citygate Outlets (Retail),東薈城名店倉(商場) / 東薈城一座(辦公大樓),"20 Tat Tung Road, Tung Chung, Lantau, Hong Kong",NT - Islands,Commercial,Newfoundworld Limited,NG LOK FU,EB V2.0 Comp. A,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/140,
One East Coast,海傲灣,"1 Lei Yue Mun Path, Yau Tong, Kowloon",KLN - Kwun Tong,Mixed Use,Henmell Investment Limited,N/A,NB V1.2,Final Unclassified,2021,Valid,PAU0033/18,,
ONE EIGHTY,'-,"180 Shau Kei Wan Road, Hong Kong",HK - Eastern,Mixed Use,Joint Sun Corporation Limited,SZETO Chun Tak,NB V1.2,Final Bronze,2021,Valid,FAB0009/22; PAB0027/18,https://greenbuilding.hkgbc.org.hk/projects/view/1322,
One HarbourGate,,"No. 18 Hung Luen Road, Hung Hom, Kowloon, Hong Kong",KLN - Kowloon City,Mixed Use,Janeworth Company Limited,Wong Man Sze,NB V1.1,Final Gold,2017,Expired,,,
One Homantin,,"1 Sheung Foo Street, Ho Man Tin, Hong Kong",KLN - Kowloon City,Residential,Easy Merit Holdings Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Gold,2019,Expired,FAG0006/19; PAG0020/16,https://greenbuilding.hkgbc.org.hk/projects/view/160,
One Innovale,/,"8 Ma Sik Road, Fanling, N.T.",NT - North,Residential,Best Galaxy Limited/ Charter Rank Limited/Joy cultivation Company Limited,"KWOK May Han, Grace",NB V1.2,Final Gold,2024,Valid,PAG0096/21,,
One International Finance Centre,國際金融中心一期,"1 Harbour View Street, Central, Hong Kong",HK - Central & Western,Commercial,"International Finance Centre Management Co., Ltd","Ms. WONG Man Sze, Wency",EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
One Island East,港島東中心,"Taikoo Place, 18 Westlands Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Cityplaza Holdings Limited,POON Ka Man,EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
One Island East,港島東中心,"Taikoo Place, 18 Westlands Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Swire Properties Limited,LEE Siu Yee,EB V2.0 Comp. A,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/141,
One Kai Tak(I),啟德1號 (I),2 Muk Ling Street,KLN - Kowloon City,Mixed Use,Ace Dragon Development Limited,"Ma Yee Ling, Elaine",NB V1.2,Final Unclassified,2019,Expired,FAU0006/19,,
One Kai Tak(II),啟德1號 (II),8 Muk Ling Street,KLN - Kowloon City,Mixed Use,Ace Dragon Development Ltd.,Ma Yee Ling,NB V1.2,Final Unclassified,2019,Expired,FAU0005/19,,
One North,朗壹廣場,"8 Hong Yip Street, Yuen Long, NT",NT - Yuen Long,Commercial,Regal Crown Development Limited,Wong Man Sze,NB V1.2,Final Silver,2024,Valid,,,
One Pacific Place and Two Pacific Place,太古廣場,"88 Queensway, Hong Kong",HK - Central & Western,Commercial,Swire Properties Limited,Karl Wong,EB V2.0 Comp. A,Final Platinum,2017,Expired,,,
One Park Place,柏景峰,"NKIL 6602, Ko Chiu Road, Yau Tong, Kowloon",KLN - Kwun Tong,Residential,Top Oasis Limited,Carmen Poon,NB V1.2,Provisional Gold,2022,Valid,PAG0173/24,,
One Prestige,尚譽,"1 Yuet Yuen Street, North Point, Hong Kong",HK - Eastern,Mixed Use,WorldMan Development Limited,Yee Ling Ma,NB V1.1,Final Bronze,2021,Valid,,,
One Sky Mall,天一商城,"TSWTL 26, Area 108A, Tin Shui Wai, Yuen Long, N.T., Hong Kong",NT - Yuen Long,Commercial,Lucky Leading Limited,Cheung Wai Hin,NB V1.1,Final Unclassified,2016,Expired,,,
One Soho,,"32B Shantung Street, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Residential,Urban Renewal Authority (Owner)/ Top Harmony Development Limited (Developer),"KWOK May Han, Grace",NB V1.2,Final Gold,2024,Valid,PAG0076/20,,
